order_id,customer_id,store_id,order_date,payment_method,status,source_file,source_path,ingestion_time
ORD000001,C00023,ST002,09/07/2026 08:59:55,cod,pending,orders_20260709_092514.csv,/opt/airflow/data/raw/ages/orders/orders_20260709_092514.csv,2026-07-10 02:30:32
ORD000002,C00013,ST007,2026-07-09 09:18:03,e-wallet,pending,orders_20260709_092514.csv,/opt/airflow/data/raw/ages/orders/orders_20260709_092514.csv,2026-07-10 02:30:32
ORD000003,C00031,ST003,2026-07-09 09:04:12,qris,pending,orders_20260709_092514.csv,/opt/airflow/data/raw/ages/orders/orders_20260709_092514.csv,2026-07-10 02:30:32
ORD000004,C00032,ST006,2026-07-09 09:07:25,qris,completed,orders_20260709_092514.csv,/opt/airflow/data/raw/ages/orders/orders_20260709_092514.csv,2026-07-10 02:30:32
ORD000005,C00033,ST002,2026-07-09 08:47:43,e-wallet,pending,orders_20260709_092514.csv,/opt/airflow/data/raw/ages/orders/orders_20260709_092514.csv,2026-07-10 02:30:32
ORD000006,C00032,ST004,2026-07-09 08:55:57,credit_card,completed,orders_20260709_092514.csv,/opt/airflow/data/raw/ages/orders/orders_20260709_092514.csv,2026-07-10 02:30:32
ORD000007,C00014,ST005,2026-07-09 08:51:45,bank_transfer,pending,orders_20260709_092514.csv,/opt/airflow/data/raw/ages/orders/orders_20260709_092514.csv,2026-07-10 02:30:32
ORD000008,C00032,ST006,09/07/2026 08:38:04,cod,completed,orders_20260709_092514.csv,/opt/airflow/data/raw/ages/orders/orders_20260709_092514.csv,2026-07-10 02:30:32
ORD000009,C00004,ST007,09/07/2026 09:24:02,bank_transfer,pending,orders_20260709_092514.csv,/opt/airflow/data/raw/ages/orders/orders_20260709_092514.csv,2026-07-10 02:30:32
ORD000010,C00018,ST003,09/07/2026 08:56:16,cod,pending,orders_20260709_092514.csv,/opt/airflow/data/raw/ages/orders/orders_20260709_092514.csv,2026-07-10 02:30:32
ORD000011,C00014,ST001,09/07/2026 08:54:01,cod,completed,orders_20260709_092514.csv,/opt/airflow/data/raw/ages/orders/orders_20260709_092514.csv,2026-07-10 02:30:32
ORD000012,C00019,ST004,2026-07-09 08:43:49,credit_card,pending,orders_20260709_092514.csv,/opt/airflow/data/raw/ages/orders/orders_20260709_092514.csv,2026-07-10 02:30:32
ORD000013,C00003,ST006,09/07/2026 09:04:56,cod,pending,orders_20260709_092514.csv,/opt/airflow/data/raw/ages/orders/orders_20260709_092514.csv,2026-07-10 02:30:32
ORD000004,C00032,ST006,2026-07-09 09:07:25,qris,completed,orders_20260709_092514.csv,/opt/airflow/data/raw/ages/orders/orders_20260709_092514.csv,2026-07-10 02:30:32
ORD000006,C00032,ST004,2026-07-09 08:55:57,credit_card,completed,orders_20260709_092514.csv,/opt/airflow/data/raw/ages/orders/orders_20260709_092514.csv,2026-07-10 02:30:32
ORD000008,C00032,ST006,09/07/2026 08:38:04,cod,completed,orders_20260709_092514.csv,/opt/airflow/data/raw/ages/orders/orders_20260709_092514.csv,2026-07-10 02:30:32
ORD000011,C00014,ST001,09/07/2026 08:54:01,cod,completed,orders_20260709_092514.csv,/opt/airflow/data/raw/ages/orders/orders_20260709_092514.csv,2026-07-10 02:30:32
